id,full_name,mail,tel,date_naissance,adresse,numero_contrat,type_contrat,annee_inscription,prime_annuelle,profession,situation_familiale,kpi_score,sentiment
535,Asma Boughanmi,client535@mail.tn,+21693821189,1991-01-11,"66 Rue 6, Nabeul",STAR-000535,SANTE,2000,1033.22,RETRAITE,DIVORCE,79,POSITIF
536,Nour Ayari,client536@mail.tn,+21696000018,1976-02-05,"84 Rue 12, La Marsa",STAR-000536,VOYAGE,2021,676.08,CHAUFFEUR,MARIE,9,NEGATIF
537,Ines Sfar,client537@mail.tn,+21669462784,1969-07-11,"193 Rue 39, Monastir",STAR-000537,VOYAGE,2003,387.76,ETUDIANT,CELIBATAIRE,46,NEUTRE
538,Ines Belhaj,client538@mail.tn,+21692703045,1963-06-15,"60 Rue 2, Hammam-Lif",STAR-000538,HABITATION,2015,2628.31,ETUDIANT,VEUF,79,POSITIF
539,Skander Saidi,client539@mail.tn,+21698109386,1979-10-14,"37 Rue 24, Mateur",STAR-000539,SANTE,2020,801.38,RETRAITE,CELIBATAIRE,64,NEUTRE
540,Amira Ben Ali,client540@mail.tn,+21694569422,1989-10-10,"154 Rue 17, Bizerte",STAR-000540,VIE,2000,7818.53,ETUDIANT,VEUF,100,POSITIF
541,Amira Mrabet,client541@mail.tn,+21669469478,1994-10-03,"143 Rue 18, Zaghouan",STAR-000541,VOYAGE,2022,244.86,EMPLOYE,CELIBATAIRE,25,NEGATIF
542,Afef Abidi,client542@mail.tn,+21663243545,2000-05-25,"118 Rue 39, Monastir",STAR-000542,VIE,2007,4442.67,ENSEIGNANT,DIVORCE,100,POSITIF
543,Lotfi Gargouri,client543@mail.tn,+21698468826,1960-01-22,"21 Rue 42, Ben Arous",STAR-000543,AUTO,2022,1061.06,AUTRE,VEUF,41,NEUTRE
544,Rami Ouali,client544@mail.tn,+21661331881,1998-06-13,"95 Rue 13, Manouba",STAR-000544,AUTO,2022,1742.63,ETUDIANT,MARIE,48,NEUTRE
545,Salma Haddad,client545@mail.tn,+21664507886,1972-02-27,"93 Rue 3, Manouba",STAR-000545,HABITATION,2022,3500.95,INGENIEUR,CELIBATAIRE,78,POSITIF
546,Sami Bardi,client546@mail.tn,+21664824620,1967-05-19,"151 Rue 9, Sfax",STAR-000546,HABITATION,2017,2976.05,INGENIEUR,CELIBATAIRE,85,POSITIF
547,Sirine Trabelsi,client547@mail.tn,+21696419028,2004-11-18,"165 Rue 44, Nabeul",STAR-000547,HABITATION,2017,2011.68,AUTRE,MARIE,66,NEUTRE
548,Sonia Chebbi,client548@mail.tn,+21699932362,1977-02-22,"58 Rue 4, Zaghouan",STAR-000548,HABITATION,2011,2866.35,RETRAITE,MARIE,94,POSITIF
549,Amel Ben Ali,client549@mail.tn,+21662054349,1985-04-11,"64 Rue 13, Sfax",STAR-000549,RC,2000,816.07,INGENIEUR,VEUF,57,NEUTRE
550,Mohamed Gargouri,client550@mail.tn,+21699718700,1987-01-19,"62 Rue 22, Manouba",STAR-000550,VIE,2008,7577.9,INGENIEUR,MARIE,100,POSITIF
551,Ali Mzoughi,client551@mail.tn,+21668414160,1966-11-15,"178 Rue 5, Ariana",STAR-000551,HABITATION,2001,1499.31,ETUDIANT,VEUF,75,POSITIF
552,Nizar Laabidi,client552@mail.tn,+21661177948,1964-02-22,"159 Rue 49, Sfax",STAR-000552,RC,2009,591.48,COMMERCANT,VEUF,37,NEGATIF
553,Asma Tlili,client553@mail.tn,+21661206168,1987-10-20,"85 Rue 38, Ben Arous",STAR-000553,RC,2021,437.73,ETUDIANT,VEUF,0,NEGATIF
554,Bassem Dridi,client554@mail.tn,+21666228902,1996-03-21,"63 Rue 9, Sousse",STAR-000554,HABITATION,2013,2025.14,AUTRE,VEUF,75,POSITIF
555,Nadia Haddad,client555@mail.tn,+21693425991,1979-10-18,"95 Rue 1, Bizerte",STAR-000555,AUTO,2009,635.85,INFORMATICIEN,DIVORCE,66,NEUTRE
556,Bilel Elloumi,client556@mail.tn,+21698841710,1995-01-14,"49 Rue 43, Ariana",STAR-000556,VOYAGE,2006,297.7,INGENIEUR,MARIE,70,POSITIF
557,Sonia Abidi,client557@mail.tn,+21698827187,1999-05-14,"1 Rue 41, Monastir",STAR-000557,VOYAGE,2014,281.14,ETUDIANT,VEUF,28,NEGATIF
558,Bilel Gargouri,client558@mail.tn,+21668388822,1981-12-13,"92 Rue 2, Sfax",STAR-000558,AUTO,2000,1040.5,ENSEIGNANT,MARIE,79,POSITIF
559,Khaled Mejri,client559@mail.tn,+21663954088,1962-01-07,"142 Rue 16, Ariana",STAR-000559,AUTO,2007,854.56,MEDECIN,CELIBATAIRE,85,POSITIF
560,Hela Hamdi,client560@mail.tn,+21693874940,1961-11-05,"117 Rue 16, Bizerte",STAR-000560,SANTE,2003,2171.69,ENSEIGNANT,CELIBATAIRE,100,POSITIF
561,Afef Mansour,client561@mail.tn,+21694172607,1967-03-05,"110 Rue 41, La Marsa",STAR-000561,AUTO,2012,706.69,ENSEIGNANT,DIVORCE,58,NEUTRE
562,Manel Gharbi,client562@mail.tn,+21692088389,1980-04-02,"187 Rue 6, Monastir",STAR-000562,VIE,2004,6671.48,RETRAITE,VEUF,100,POSITIF
563,Hatem Ouali,client563@mail.tn,+21667726758,2001-09-12,"178 Rue 31, Ben Arous",STAR-000563,SANTE,2005,1845.34,ENSEIGNANT,DIVORCE,81,POSITIF
564,Sami Khalsi,client564@mail.tn,+21693253688,1972-08-28,"41 Rue 24, La Marsa",STAR-000564,AUTO,2009,1033.44,COMMERCANT,VEUF,67,NEUTRE
565,Nizar Mzoughi,client565@mail.tn,+21669347387,1993-06-08,"116 Rue 30, Nabeul",STAR-000565,HABITATION,2016,1164.57,INFORMATICIEN,DIVORCE,81,POSITIF
566,Dhouha Ouali,client566@mail.tn,+21694820869,1961-03-15,"129 Rue 33, Bizerte",STAR-000566,AUTO,2002,825.0,ENSEIGNANT,MARIE,83,POSITIF
567,Omar Mansour,client567@mail.tn,+21663312992,1983-01-18,"191 Rue 50, Bizerte",STAR-000567,AUTO,2021,934.01,ENSEIGNANT,DIVORCE,49,NEUTRE
568,Fatma Zouari,client568@mail.tn,+21694818133,1978-06-26,"132 Rue 49, Hammam-Lif",STAR-000568,SANTE,2018,2869.96,ETUDIANT,VEUF,58,NEUTRE
569,Mehdi Turki,client569@mail.tn,+21668007639,1990-04-17,"22 Rue 21, Ariana",STAR-000569,HABITATION,2024,4143.9,AUTRE,VEUF,70,POSITIF
570,Fares Mzoughi,client570@mail.tn,+21668142385,1995-01-12,"169 Rue 23, Manouba",STAR-000570,AUTO,2004,1324.01,MEDECIN,MARIE,90,POSITIF
571,Chiraz Zouari,client571@mail.tn,+21694425984,1980-10-01,"162 Rue 39, La Marsa",STAR-000571,HABITATION,2004,4141.43,CHAUFFEUR,DIVORCE,100,POSITIF
572,Sarra Ouali,client572@mail.tn,+21669197571,1972-08-04,"27 Rue 44, Sousse",STAR-000572,VOYAGE,2014,484.76,MEDECIN,MARIE,55,NEUTRE
573,Karim Dridi,client573@mail.tn,+21666482325,1964-07-10,"15 Rue 24, Manouba",STAR-000573,AUTO,2021,772.86,RETRAITE,MARIE,52,NEUTRE
574,Asma Mrabet,client574@mail.tn,+21698965487,1967-03-18,"53 Rue 20, Sousse",STAR-000574,SANTE,2002,1747.8,COMMERCANT,CELIBATAIRE,90,POSITIF
575,Lotfi Zouari,client575@mail.tn,+21695141290,1997-04-17,"115 Rue 5, Sousse",STAR-000575,VIE,2008,5951.43,INGENIEUR,MARIE,100,POSITIF
576,Hela Bouaziz,client576@mail.tn,+21693938131,1989-08-19,"183 Rue 20, Zaghouan",STAR-000576,RC,2009,716.1,AUTRE,DIVORCE,34,NEGATIF
577,Mariem Ayari,client577@mail.tn,+21693649663,1999-12-14,"179 Rue 3, Nabeul",STAR-000577,SANTE,2021,1523.2,CHAUFFEUR,MARIE,46,NEUTRE
578,Afef Nasri,client578@mail.tn,+21662765375,2002-02-23,"142 Rue 8, Mateur",STAR-000578,VIE,2006,6195.66,AUTRE,VEUF,100,POSITIF
579,Rim Mzoughi,client579@mail.tn,+21697655090,1970-05-07,"88 Rue 48, Nabeul",STAR-000579,HABITATION,2000,1178.54,EMPLOYE,VEUF,91,POSITIF
580,Mohamed Fehri,client580@mail.tn,+21698343784,1967-12-05,"22 Rue 36, Sfax",STAR-000580,VOYAGE,2014,535.15,AUTRE,VEUF,41,NEUTRE
581,Tarek Belhaj,client581@mail.tn,+21661188082,1970-03-27,"190 Rue 26, Ben Arous",STAR-000581,RC,2005,624.89,MEDECIN,MARIE,55,NEUTRE
582,Nour Mzoughi,client582@mail.tn,+21692724585,1982-03-07,"179 Rue 4, Manouba",STAR-000582,VIE,2021,1723.89,RETRAITE,CELIBATAIRE,72,POSITIF
583,Yosra Zouari,client583@mail.tn,+21661468825,1988-01-20,"62 Rue 13, Ariana",STAR-000583,RC,2012,234.07,INGENIEUR,CELIBATAIRE,32,NEGATIF
584,Walid Dridi,client584@mail.tn,+21696413664,2003-11-03,"107 Rue 33, Tunis",STAR-000584,AUTO,2003,1933.99,CHAUFFEUR,CELIBATAIRE,52,NEUTRE
585,Lotfi Turki,client585@mail.tn,+21664569653,1994-07-14,"4 Rue 26, Sousse",STAR-000585,RC,2003,362.69,ENSEIGNANT,DIVORCE,46,NEUTRE
586,Mariem Mansour,client586@mail.tn,+21692708148,2002-05-21,"197 Rue 39, Bizerte",STAR-000586,HABITATION,2002,2475.92,INGENIEUR,VEUF,97,POSITIF
587,Amine Hamdi,client587@mail.tn,+21699088805,1998-06-21,"163 Rue 49, Sousse",STAR-000587,VIE,2024,4025.68,CHAUFFEUR,DIVORCE,74,POSITIF
588,Walid Trabelsi,client588@mail.tn,+21668189001,1998-10-15,"6 Rue 40, Monastir",STAR-000588,SANTE,2023,1826.46,INGENIEUR,MARIE,58,NEUTRE
589,Lotfi Jebali,client589@mail.tn,+21696514500,1963-03-12,"10 Rue 16, Hammam-Lif",STAR-000589,SANTE,2004,1311.88,COMMERCANT,CELIBATAIRE,91,POSITIF
590,Amine Sfar,client590@mail.tn,+21661907210,2001-01-17,"85 Rue 22, Zaghouan",STAR-000590,SANTE,2009,2155.31,ETUDIANT,CELIBATAIRE,61,NEUTRE
591,Samir Khalsi,client591@mail.tn,+21693374513,1998-07-17,"18 Rue 13, Manouba",STAR-000591,VOYAGE,2020,291.77,ETUDIANT,MARIE,23,NEGATIF
592,Youssef Jebali,client592@mail.tn,+21663960096,1971-10-18,"43 Rue 47, Bizerte",STAR-000592,AUTO,2002,778.1,COMMERCANT,VEUF,60,NEUTRE
593,Nizar Nasri,client593@mail.tn,+21669477402,1996-08-21,"97 Rue 11, Nabeul",STAR-000593,AUTO,2015,834.98,EMPLOYE,DIVORCE,72,POSITIF
594,Chiraz Gharbi,client594@mail.tn,+21666131265,1990-01-25,"187 Rue 12, Ben Arous",STAR-000594,SANTE,2002,1625.75,MEDECIN,CELIBATAIRE,88,POSITIF
595,Olfa Ouali,client595@mail.tn,+21697279004,1995-10-16,"49 Rue 1, Sousse",STAR-000595,RC,2022,433.26,AUTRE,CELIBATAIRE,2,NEGATIF
596,Asma Chebbi,client596@mail.tn,+21693723988,1985-12-12,"10 Rue 8, Nabeul",STAR-000596,SANTE,2020,1774.92,INFORMATICIEN,MARIE,80,POSITIF
597,Skander Laabidi,client597@mail.tn,+21661578940,1976-12-12,"99 Rue 28, Hammam-Lif",STAR-000597,HABITATION,2020,3836.51,ENSEIGNANT,MARIE,86,POSITIF
598,Radhia Trabelsi,client598@mail.tn,+21662548634,2004-11-21,"155 Rue 38, Monastir",STAR-000598,AUTO,2014,818.13,CHAUFFEUR,DIVORCE,44,NEUTRE
599,Asma Jebali,client599@mail.tn,+21692491048,1993-04-14,"79 Rue 47, La Marsa",STAR-000599,AUTO,2008,1727.6,MEDECIN,VEUF,85,POSITIF
600,Khaled Haddad,client600@mail.tn,+21668010185,1969-05-24,"126 Rue 1, Sousse",STAR-000600,AUTO,2012,1888.03,MEDECIN,MARIE,78,POSITIF
601,Radhia Nasri,client601@mail.tn,+21694566389,1987-03-06,"129 Rue 8, Sousse",STAR-000601,VOYAGE,2004,293.2,INGENIEUR,VEUF,61,NEUTRE
602,Sami Chaabane,client602@mail.tn,+21662078144,1971-04-09,"76 Rue 6, Sfax",STAR-000602,SANTE,2019,1657.75,EMPLOYE,CELIBATAIRE,72,POSITIF
603,Fatma Rekik,client603@mail.tn,+21669725395,1990-08-22,"55 Rue 34, Sfax",STAR-000603,RC,2008,206.65,ETUDIANT,MARIE,29,NEGATIF
604,Hela Bouaziz,client604@mail.tn,+21661960353,1990-06-20,"93 Rue 43, Monastir",STAR-000604,SANTE,2021,1407.72,ENSEIGNANT,DIVORCE,58,NEUTRE
605,Sonia Abidi,client605@mail.tn,+21668972523,1966-01-15,"72 Rue 45, Ben Arous",STAR-000605,VIE,2004,4111.75,ETUDIANT,MARIE,100,POSITIF
606,Salma Dridi,client606@mail.tn,+21662365149,1960-11-27,"114 Rue 15, Hammam-Lif",STAR-000606,VOYAGE,2011,208.32,ETUDIANT,DIVORCE,44,NEUTRE
607,Rim Gargouri,client607@mail.tn,+21669353796,2002-12-04,"147 Rue 46, Ben Arous",STAR-000607,VIE,2019,4001.58,INGENIEUR,CELIBATAIRE,99,POSITIF
608,Nizar Tlili,client608@mail.tn,+21661490260,1970-08-04,"193 Rue 43, Sousse",STAR-000608,SANTE,2007,2190.34,INGENIEUR,CELIBATAIRE,97,POSITIF
609,Zied Sfar,client609@mail.tn,+21666583476,1984-05-08,"163 Rue 47, Ben Arous",STAR-000609,VIE,2015,3174.59,EMPLOYE,CELIBATAIRE,97,POSITIF
610,Zied Mansour,client610@mail.tn,+21662471032,2001-06-13,"60 Rue 15, Mateur",STAR-000610,VIE,2023,6329.29,COMMERCANT,VEUF,67,NEUTRE
611,Ali Abidi,client611@mail.tn,+21669985927,1997-04-24,"189 Rue 1, La Marsa",STAR-000611,RC,2004,600.99,ENSEIGNANT,VEUF,42,NEUTRE
612,Ridha Ouali,client612@mail.tn,+21665979872,1987-06-25,"102 Rue 1, Sfax",STAR-000612,VOYAGE,2004,598.76,RETRAITE,CELIBATAIRE,60,NEUTRE
613,Tarek Tlili,client613@mail.tn,+21669024252,1969-10-10,"129 Rue 45, Bizerte",STAR-000613,AUTO,2022,1595.3,ETUDIANT,DIVORCE,37,NEGATIF
614,Tarek Nasri,client614@mail.tn,+21697573445,2005-07-02,"189 Rue 4, Zaghouan",STAR-000614,VOYAGE,2022,276.35,INGENIEUR,CELIBATAIRE,15,NEGATIF
615,Lilia Mrabet,client615@mail.tn,+21664273103,1961-09-13,"19 Rue 34, Nabeul",STAR-000615,VOYAGE,2015,411.22,ENSEIGNANT,VEUF,47,NEUTRE
616,Ines Saidi,client616@mail.tn,+21669094028,1980-10-28,"42 Rue 37, Hammam-Lif",STAR-000616,RC,2022,794.87,MEDECIN,VEUF,11,NEGATIF
617,Afef Gharbi,client617@mail.tn,+21668165734,1973-04-26,"148 Rue 7, Zaghouan",STAR-000617,VIE,2020,2771.76,ETUDIANT,DIVORCE,76,POSITIF
618,Zied Chaabane,client618@mail.tn,+21662993175,1966-06-16,"112 Rue 10, La Marsa",STAR-000618,AUTO,2003,1912.1,RETRAITE,DIVORCE,88,POSITIF
619,Hedi Bouaziz,client619@mail.tn,+21663013272,1979-12-20,"98 Rue 18, Hammam-Lif",STAR-000619,AUTO,2012,1444.48,EMPLOYE,VEUF,68,NEUTRE
620,Ali Khelil,client620@mail.tn,+21694038296,1991-11-22,"178 Rue 48, Bizerte",STAR-000620,HABITATION,2018,1899.74,INFORMATICIEN,VEUF,68,NEUTRE
621,Leila Laabidi,client621@mail.tn,+21699999580,1979-10-05,"180 Rue 2, Nabeul",STAR-000621,RC,2022,427.66,RETRAITE,CELIBATAIRE,18,NEGATIF
622,Sarra Hajlaoui,client622@mail.tn,+21668503322,1997-09-23,"154 Rue 45, Sousse",STAR-000622,VIE,2024,2306.58,INGENIEUR,MARIE,80,POSITIF
623,Ines Boughanmi,client623@mail.tn,+21663879023,1968-10-07,"32 Rue 33, Sfax",STAR-000623,VIE,2017,2547.87,MEDECIN,MARIE,100,POSITIF
624,Salma Ben Ali,client624@mail.tn,+21696907545,1975-05-02,"148 Rue 32, Sousse",STAR-000624,HABITATION,2009,4618.48,RETRAITE,VEUF,98,POSITIF
625,Aymen Hamdi,client625@mail.tn,+21668080237,2002-01-08,"142 Rue 14, La Marsa",STAR-000625,RC,2009,331.65,INGENIEUR,CELIBATAIRE,31,NEGATIF
626,Maher Fehri,client626@mail.tn,+21665519776,1976-07-21,"37 Rue 35, Zaghouan",STAR-000626,AUTO,2002,1040.1,MEDECIN,VEUF,78,POSITIF
627,Aymen Mejri,client627@mail.tn,+21695152322,1996-11-21,"112 Rue 25, Mateur",STAR-000627,HABITATION,2013,3419.78,CHAUFFEUR,DIVORCE,69,NEUTRE
628,Amine Khelil,client628@mail.tn,+21694787716,1994-02-22,"200 Rue 18, Ariana",STAR-000628,HABITATION,2010,2627.13,EMPLOYE,DIVORCE,81,POSITIF
629,Fatma Hamdi,client629@mail.tn,+21665731119,1984-04-13,"126 Rue 7, La Marsa",STAR-000629,RC,2003,747.91,CHAUFFEUR,DIVORCE,40,NEUTRE
630,Emna Hamdi,client630@mail.tn,+21669616197,1963-03-11,"152 Rue 9, Manouba",STAR-000630,SANTE,2023,1033.61,RETRAITE,VEUF,56,NEUTRE
631,Wissem Saidi,client631@mail.tn,+21666939158,1969-07-19,"156 Rue 27, Hammam-Lif",STAR-000631,VIE,2023,3237.9,ENSEIGNANT,CELIBATAIRE,85,POSITIF
632,Nadia Nasri,client632@mail.tn,+21692333367,1977-07-17,"105 Rue 50, Bizerte",STAR-000632,VIE,2007,7229.02,MEDECIN,MARIE,100,POSITIF
633,Mehdi Rekik,client633@mail.tn,+21693288888,1965-03-19,"3 Rue 28, Mateur",STAR-000633,RC,2009,259.21,RETRAITE,VEUF,44,NEUTRE
634,Leila Elloumi,client634@mail.tn,+21696789156,2003-11-18,"2 Rue 46, Zaghouan",STAR-000634,VIE,2000,2310.5,INFORMATICIEN,CELIBATAIRE,100,POSITIF
635,Mehdi Hajlaoui,client635@mail.tn,+21691854070,2003-10-02,"20 Rue 24, Sousse",STAR-000635,HABITATION,2005,2794.61,RETRAITE,CELIBATAIRE,85,POSITIF
636,Leila Ouali,client636@mail.tn,+21661037485,1970-06-04,"77 Rue 31, Bizerte",STAR-000636,VOYAGE,2007,657.02,RETRAITE,MARIE,65,NEUTRE
637,Sirine Zouari,client637@mail.tn,+21666937335,2001-09-27,"2 Rue 40, Ariana",STAR-000637,RC,2019,854.79,AUTRE,MARIE,39,NEGATIF
638,Mohamed Haddad,client638@mail.tn,+21669177419,1971-07-12,"132 Rue 10, Ben Arous",STAR-000638,RC,2015,270.94,INGENIEUR,MARIE,53,NEUTRE
639,Youssef Fehri,client639@mail.tn,+21666934735,1974-08-13,"113 Rue 43, Sfax",STAR-000639,VOYAGE,2013,349.64,CHAUFFEUR,DIVORCE,38,NEGATIF
640,Fatma Haddad,client640@mail.tn,+21699041235,2005-04-04,"85 Rue 3, Zaghouan",STAR-000640,AUTO,2004,855.84,COMMERCANT,VEUF,59,NEUTRE
641,Ines Chebbi,client641@mail.tn,+21666773384,1991-09-16,"29 Rue 7, Sousse",STAR-000641,VIE,2010,6143.09,COMMERCANT,VEUF,89,POSITIF
642,Skander Rekik,client642@mail.tn,+21668196619,1963-11-27,"75 Rue 19, Manouba",STAR-000642,VOYAGE,2019,414.83,ETUDIANT,VEUF,34,NEGATIF
643,Lotfi Gharbi,client643@mail.tn,+21699427765,1992-03-08,"122 Rue 46, Monastir",STAR-000643,VOYAGE,2008,583.36,INGENIEUR,VEUF,50,NEUTRE
644,Sami Gharbi,client644@mail.tn,+21697381258,1974-02-05,"158 Rue 13, Tunis",STAR-000644,SANTE,2006,692.08,CHAUFFEUR,VEUF,48,NEUTRE
645,Nadia Zouari,client645@mail.tn,+21665706947,2004-11-08,"14 Rue 20, Hammam-Lif",STAR-000645,AUTO,2015,937.88,ETUDIANT,VEUF,39,NEGATIF
646,Yosra Chebbi,client646@mail.tn,+21665232271,1975-06-02,"121 Rue 18, Bizerte",STAR-000646,AUTO,2001,465.42,ENSEIGNANT,CELIBATAIRE,59,NEUTRE
647,Houda Abidi,client647@mail.tn,+21694997208,1979-02-04,"190 Rue 24, Ariana",STAR-000647,VIE,2017,1588.8,CHAUFFEUR,DIVORCE,73,POSITIF
648,Sirine Ouali,client648@mail.tn,+21666752873,1965-02-05,"181 Rue 29, Monastir",STAR-000648,VIE,2003,6326.82,ETUDIANT,CELIBATAIRE,100,POSITIF
649,Nesrine Gargouri,client649@mail.tn,+21662970130,1972-09-24,"144 Rue 23, Mateur",STAR-000649,AUTO,2006,470.1,COMMERCANT,DIVORCE,68,NEUTRE
650,Sarra Gargouri,client650@mail.tn,+21697668839,1986-09-17,"145 Rue 4, Tunis",STAR-000650,RC,2008,316.85,CHAUFFEUR,DIVORCE,30,NEGATIF
651,Salma Elloumi,client651@mail.tn,+21664654207,1964-03-15,"70 Rue 14, La Marsa",STAR-000651,HABITATION,2024,2536.6,COMMERCANT,VEUF,64,NEUTRE
652,Mounir Elloumi,client652@mail.tn,+21661765250,1989-09-23,"69 Rue 36, Zaghouan",STAR-000652,VIE,2009,4912.98,INGENIEUR,DIVORCE,100,POSITIF
653,Nizar Boughanmi,client653@mail.tn,+21697192640,2000-03-09,"30 Rue 1, Ben Arous",STAR-000653,AUTO,2001,832.7,INGENIEUR,CELIBATAIRE,76,POSITIF
654,Sarra Fehri,client654@mail.tn,+21661262370,1968-07-20,"188 Rue 18, Monastir",STAR-000654,VOYAGE,2001,362.32,ETUDIANT,DIVORCE,44,NEUTRE
655,Mehdi Ouali,client655@mail.tn,+21697634775,2001-05-28,"84 Rue 18, Monastir",STAR-000655,VIE,2017,5622.99,INGENIEUR,VEUF,86,POSITIF
656,Fares Khalsi,client656@mail.tn,+21694026721,1987-06-05,"49 Rue 37, Sousse",STAR-000656,SANTE,2005,824.86,AUTRE,CELIBATAIRE,87,POSITIF
657,Fatma Zouari,client657@mail.tn,+21697752901,1970-03-27,"110 Rue 16, Sfax",STAR-000657,SANTE,2006,2249.68,EMPLOYE,CELIBATAIRE,100,POSITIF
658,Mehdi Hajlaoui,client658@mail.tn,+21662402500,1968-12-25,"4 Rue 49, Sfax",STAR-000658,RC,2012,622.31,COMMERCANT,MARIE,33,NEGATIF
659,Nour Ben Ali,client659@mail.tn,+21696157064,1960-02-18,"123 Rue 49, Sousse",STAR-000659,VIE,2022,6818.66,EMPLOYE,CELIBATAIRE,91,POSITIF
660,Leila Gharbi,client660@mail.tn,+21667967320,1975-01-18,"27 Rue 35, Tunis",STAR-000660,VIE,2017,3238.47,EMPLOYE,MARIE,89,POSITIF
661,Mohamed Khalsi,client661@mail.tn,+21662847769,1961-04-14,"99 Rue 44, Hammam-Lif",STAR-000661,SANTE,2020,953.7,MEDECIN,CELIBATAIRE,71,POSITIF
662,Omar Nasri,client662@mail.tn,+21698134419,1982-02-20,"110 Rue 34, Sousse",STAR-000662,VOYAGE,2002,259.18,ETUDIANT,CELIBATAIRE,44,NEUTRE
663,Mounir Zouari,client663@mail.tn,+21693493814,1999-05-12,"183 Rue 5, Mateur",STAR-000663,RC,2015,389.77,ENSEIGNANT,DIVORCE,26,NEGATIF
664,Walid Gharbi,client664@mail.tn,+21663139694,1984-08-24,"72 Rue 10, Zaghouan",STAR-000664,SANTE,2003,2555.16,INFORMATICIEN,VEUF,89,POSITIF
665,Skander Ouali,client665@mail.tn,+21669339992,1982-06-16,"168 Rue 16, Sousse",STAR-000665,SANTE,2013,1755.09,INFORMATICIEN,DIVORCE,82,POSITIF
666,Sabrine Khalsi,client666@mail.tn,+21691287807,1984-02-19,"93 Rue 1, Monastir",STAR-000666,VIE,2018,4241.96,INGENIEUR,MARIE,100,POSITIF
667,Sabrine Gargouri,client667@mail.tn,+21664767947,1968-02-02,"37 Rue 36, Manouba",STAR-000667,VOYAGE,2024,380.43,CHAUFFEUR,DIVORCE,22,NEGATIF
668,Mehdi Saidi,client668@mail.tn,+21663653705,1967-12-23,"180 Rue 7, Tunis",STAR-000668,AUTO,2000,1003.94,COMMERCANT,DIVORCE,74,POSITIF
669,Youssef Mejri,client669@mail.tn,+21696024905,1969-02-08,"191 Rue 9, Manouba",STAR-000669,RC,2013,208.73,CHAUFFEUR,CELIBATAIRE,35,NEGATIF
670,Rim Abidi,client670@mail.tn,+21667650332,1988-11-23,"193 Rue 12, La Marsa",STAR-000670,RC,2004,400.74,ETUDIANT,MARIE,45,NEUTRE
671,Salma Tlili,client671@mail.tn,+21693099389,1995-12-27,"41 Rue 18, Nabeul",STAR-000671,VOYAGE,2016,659.58,MEDECIN,CELIBATAIRE,35,NEGATIF
672,Hedi Chaabane,client672@mail.tn,+21693765293,1974-07-06,"81 Rue 42, Manouba",STAR-000672,VIE,2019,7843.92,EMPLOYE,VEUF,94,POSITIF
673,Samir Mejri,client673@mail.tn,+21692095873,2001-07-07,"62 Rue 19, Tunis",STAR-000673,VOYAGE,2002,254.2,ENSEIGNANT,DIVORCE,41,NEUTRE
674,Lotfi Ben Ali,client674@mail.tn,+21699116934,1979-04-18,"146 Rue 37, Sfax",STAR-000674,AUTO,2001,1421.42,INGENIEUR,DIVORCE,76,POSITIF
675,Ahmed Sfar,client675@mail.tn,+21692633762,1965-05-01,"193 Rue 26, Ariana",STAR-000675,VOYAGE,2012,575.84,RETRAITE,CELIBATAIRE,52,NEUTRE
676,Rim Elloumi,client676@mail.tn,+21662565160,1966-09-26,"42 Rue 10, Bizerte",STAR-000676,AUTO,2012,437.9,AUTRE,MARIE,66,NEUTRE
677,Mounir Turki,client677@mail.tn,+21668229326,2003-11-05,"34 Rue 22, Manouba",STAR-000677,VIE,2016,2546.81,RETRAITE,DIVORCE,78,POSITIF
678,Mounir Ouali,client678@mail.tn,+21692462431,1975-04-20,"4 Rue 10, Sfax",STAR-000678,HABITATION,2004,1299.99,INFORMATICIEN,VEUF,91,POSITIF
679,Ines Tlili,client679@mail.tn,+21668940001,1980-03-10,"19 Rue 12, Sfax",STAR-000679,AUTO,2018,509.06,ENSEIGNANT,DIVORCE,53,NEUTRE
680,Chiraz Mzoughi,client680@mail.tn,+21669597975,2001-03-04,"159 Rue 44, Nabeul",STAR-000680,HABITATION,2011,2953.04,MEDECIN,VEUF,76,POSITIF
681,Houda Jebali,client681@mail.tn,+21662766607,2003-07-17,"63 Rue 45, Zaghouan",STAR-000681,SANTE,2021,1230.79,ETUDIANT,MARIE,29,NEGATIF
682,Asma Mrabet,client682@mail.tn,+21664024485,1996-07-28,"120 Rue 42, Manouba",STAR-000682,RC,2014,356.14,EMPLOYE,DIVORCE,36,NEGATIF
683,Zied Bardi,client683@mail.tn,+21668626564,1987-04-13,"180 Rue 48, Monastir",STAR-000683,VOYAGE,2010,232.24,INFORMATICIEN,VEUF,52,NEUTRE
684,Maher Gharbi,client684@mail.tn,+21664548261,1990-03-21,"93 Rue 28, Tunis",STAR-000684,AUTO,2001,912.3,INFORMATICIEN,VEUF,87,POSITIF
685,Skander Laabidi,client685@mail.tn,+21699804312,1977-05-21,"77 Rue 46, Sfax",STAR-000685,AUTO,2002,533.75,MEDECIN,VEUF,71,POSITIF
686,Wissem Fehri,client686@mail.tn,+21663695916,1971-01-03,"90 Rue 27, Monastir",STAR-000686,SANTE,2024,1420.85,MEDECIN,CELIBATAIRE,70,POSITIF
687,Houda Ouali,client687@mail.tn,+21668695022,1960-09-26,"171 Rue 47, Ariana",STAR-000687,HABITATION,2023,1794.24,INFORMATICIEN,CELIBATAIRE,70,POSITIF
